Stage Name,Full Name,Korean Name,K. Stage Name,Date of Birth,Group,Country,Birthplace,Other Group,Gender
Hanbyeol,Ahn Hanbyeol,안한별,한별,2003-10-13,Dreamnote,South Korea,,,F
Handong,Han Dong,한동,한동,1996-03-26,Dreamcatcher,China,Wuhan,,F
Haneul,Lee Haneul,이하늘,하늘,1996-06-03,ARGON,South Korea,,,M
Hangyul,Lee Hangyul,이한결,한결,1999-12-07,X1,South Korea,,IM,M
Hani,Ahn Hee-yeon,안희연,하니,1992-05-01,EXID,South Korea,Seoul,,F
Hanna,Shin Jiyeon,신지연,한나,1994-02-19,MIXX,South Korea,,,F
Hanse,Do Hanse,도한세,한세,1997-09-25,VICTON,South Korea,,,M
Hansol,Kim Hansol,김한솔,한솔,1993-06-15,,South Korea,Busan,,M
Hara,Koo Hara,구하라,하라,1991-01-13,KARA,South Korea,Gwangju,,F
Harin,Ju Harin,주하린,주하린,1998-03-29,Onewe,South Korea,,,M
Harin,,,하린,1995-11-21,Lusty,South Korea,Seoul,,F
Harin,Park Guenhye,박근혜,하린,2000-05-26,Pink Fantasy,South Korea,,,F
Haru,Han Sangsook,한상숙,하루,1994-07-06,Gate9,South Korea,Bucheon,,F
Haru,Abe Haruno,아베 하루노,하루,2000-02-21,NATURE,Japan,,,F
Haru,Lee Yoojeong,이유정,하루,1997-02-26,Ho1iday,South Korea,,,F
Haruto,Watanabe Haruto,와타나베 하루토,하루토,2004-04-05,Treasure,Japan,,,M
Haseul,Jo Haseul,조하슬,하슬,1997-08-18,LOONA,South Korea,Ansan,Loona 1/3,F
Hayoon,Jung Hayoon,정하윤,하윤,1998-11-21,Bonus Baby,South Korea,,,F
Hayoung,Oh Hayoung,오하영,하영,1996-07-19,Apink,South Korea,Seoul,,F
Hayoung,Lee Hayoung,이하영,하영,1993-08-03,Playback,South Korea,,,F
Hayoung,Choi Hayoung,최하영,하영,2000-08-22,TRCNG,South Korea,,,M
Hayoung,Song Hayoung,송하영,하영,1997-09-29,fromis_9,South Korea,Gwangju,,F
Hayun,Lee Hayun,이하윤,하윤,1994-08-29,Brave Girls,South Korea,Changwon,,F
Heechul,Kim Heechul,김희철,희철,1983-07-10,Super Junior,South Korea,Hoengseong,,M
Heechul,Jung Heechul,정희철,희철,1989-12-09,ZE:A,South Korea,Jeju,,M
Heedo,Yoon Heedo,유희도,희도,1996-04-22,B.I.G,South Korea,Seoul,,M
Heejin,Jeon Heejin,전희진,희진,2000-10-19,LOONA,South Korea,Seongnam,Loona 1/3,F
Heejin,Song Heejin,송희진,희진,1995-08-19,Good Day,South Korea,Seoul,,F
Heejoo,Jeon Heejoo,전희주,희주,1996-11-30,Ho1iday,South Korea,,,F
Heejun,Oh Heejun,오희준,희준,1996-05-08,KNK,South Korea,,,M
Heeo,Gwak Heeoh,곽히오,히오,1994-05-02,4TEN,South Korea,,,F
Heeseok,Yun Heeseok,윤희석,희석,1997-06-10,Limitless,South Korea,,,M
Heesun,Park Heesun,박희선,희선,2005-01-25,Pink Fantasy,South Korea,,,F
Heeyu,Choi Heejae,최희재,희유,1995-06-30,MIXX,South Korea,,,F
Henny,Kang Gayoung,강가영,헤니,1994-12-01,,South Korea,,,F
Henry,Henry Lau,헨리 라우,헨리,1989-10-11,Super Junior-M,Canada,Toronto,,M
Heo Chan,Heo Chan,허찬,허찬,1995-12-14,VICTON,South Korea,,,M
High.D,Kim Dohee,김도희,하이디,1996-12-21,Sonamoo,South Korea,Suwon,,F
HighTop,Lim Hyeontae,임현태,하이탑,1994-03-19,Bigflo,South Korea,,,M
Himchan,Kim Himchan,김힘찬,힘찬,1990-04-19,B.A.P,South Korea,Seoul,,M
Hitomi,Honda Hitomi,혼다 히토미,히토미,2001-10-06,IZ*ONE,Japan,Toghichi,,F
Hohyeon,Lee Hohyeon,이호현,호현,2001-10-14,TRCNG,South Korea,,,M
Hojoon,Jeon Hojoon,전호준,호준,1992-10-31,Topp Dogg,South Korea,Gwangju,,M
Hojung,Go Hojung,고호정,호정,1994-10-20,HOTSHOT,South Korea,,,M
Hongbin,Lee Hongbin,이홍빈,홍빈,1993-09-29,VIXX,South Korea,Seoul,,M
Honggi,Lee Honggi,이홍기,홍기,1990-03-02,FTISLAND,South Korea,Gwangju,,M
Hongil,Yoon Hongil,윤홍일,홍일,1999-01-11,Astin,South Korea,,,M
Hongjoong,Kim Hongjoong,김홍중,홍중,1998-11-07,ATEEZ,South Korea,,,M
Hongseob,Shim Hongseob,심홍섭,홍섭,1998-01-08,24K,South Korea,,,M
Hongseok,Yang Hongseok,양홍석,홍석,1994-04-17,PENTAGON,South Korea,,,M
Hoon,Yeo Hoonmin,여훈민,훈,1991-08-16,U-KISS,South Korea,Namyangju,,M
Hoshi,Kwon Soonyoung,권순영,호시,1996-06-15,Seventeen,South Korea,Namyangju,,M
Hoya,Lee Howon,이호원,호야,1991-03-28,,South Korea,Busan,Infinite H,M
Hoyoung,Bae Hoyoung,배호영,호영,1998-08-10,Verivery,South Korea,,,M
Hueningkai,Chung Kai,정카이,휴닝카이,2002-08-14,TXT,USA,,,M
Hui,Lee Hwitaek,이회택,후이,1993-08-28,PENTAGON,South Korea,,,M
Hui,Liang Hui,양휘,양휘,1995-07-18,24K,China,,,M
Huihyeon,Ki Huihyeon,기희현,희현,1995-06-16,DIA,South Korea,Namwon,,F
Huijun,Noh Huijun,노휘준,휘준,2003-10-07,MCND,South Korea,,,M
Hwall,Heo Hyunjoon,허현준,활,2000-03-09,The Boyz,South Korea,Busan,,M
Hwanhee,Lee Hwanhee,이환희,환희,1998-11-06,UP10TION,South Korea,Daejeon,,M
Hwani,Jo Sihyeon,조시환,화니,1994-11-16,DUSTIN,South Korea,,,M
Hwanwoong,Yeo Hwanwoong,여환웅,환웅,1998-08-26,Oneus,South Korea,,,M
Hwarang,Park Jonghan,박종찬,종찬,1995-12-05,Spectrum,South Korea,,,M
Hwasa,Ahn Hyejin,안혜진,화사,1995-07-23,Mamamoo,South Korea,Jeonju,,F
Hweseung,Yoo Hweseung,유회승,회승,1995-02-28,N.Flying,South Korea,,,M
Hwi,Jo Mingyu,조민규,휘,2002-09-26,Newkidd,South Korea,,,M
Hwiyoung,Kim Youngkyun,김영균,휘영,1999-05-11,SF9,South Korea,,,M
Hyangsuk,Lee Hyangsuk,이향숙,향숙,1991-04-24,2EYES,South Korea,Seoul,,F
Hyebin,Lee Hyebin,이혜빈,혜빈,1996-01-12,MOMOLAND,South Korea,Andong,,F
Hyebin,Im Hyebin,임혜빈,혜빈,1999-11-10,Highteen,South Korea,,,F
Hyejeong,Shin Hyejeong,신혜정,혜정,1993-08-10,AoA,South Korea,Seoul,,F
Hyeji,Jeong Hyeji,정혜지,혜지,1992-04-02,4TEN,South Korea,Seoul,,F
Hyejin,Baek Hyejin,백혜진,혜진,1996-11-21,4TEN,South Korea,Sacheon,,F
Hyejin,Kang Hyejin,강혜진,혜진,2000-07-13,CRAXY,South Korea,,,F
Hyejoo,Park Hyunjoo,박현주,혜주,1999-01-12,Highteen,South Korea,,,F
Hyemi,Pyo Hyemi,표혜미,혜미,1991-04-03,9Muses,South Korea,Gwangju,9MUSES A,F
Hyemi,Kim Hyemi,김혜미,혜미,1990-08-10,Fiestar,South Korea,Seoul,,F
Hyeoeun,Lee Hyoeun,이효은,효은,1993-03-16,Stellar,South Korea,Seoul,,F
Hyeongjun,Song Hyeongjun,송형준,형준,2002-11-30,X1,South Korea,,,M
Hyeongjun,Song Hyeongjun,송형준,형준,2002-11-30,CRAVITY,South Korea,,,M
Hyeongseo,Myeong Hyeongseo,명형서,형서,2001-06-25,Busters,South Korea,,,F
Hyeongseok,Chu Hyeongseok,추형석,형석,2000-09-13,Astin,South Korea,,,M
Hyeran,Noh Hyeran,노혜란,혜란,1993-04-09,Brave Girls,South Korea,,,F
Hyeri,Lee Hyeri,이혜리,혜리,1994-06-09,Girl's Day,South Korea,Gwangju,,F
Hyerim,Woo Hyerim,우혜림,혜림?,1992-09-01,Wonder Girls,South Korea,Seoul,,F
Hyerin,Seo Hyerin,서혜린,혜린,1993-08-23,EXID,South Korea,Gwangju,,F
Hyerin,Kim Hyerin,김혜린,혜린,1993-06-13,2EYES,South Korea,Seoul,,F
Hyeseong,Yang Hyeseon,양혜선,혜성,1999-10-15,ELRIS,South Korea,,,F
Hyewon,Kang Hyewon,강혜원,혜원,1999-07-05,IZ*ONE,South Korea,Yangsan,,F
Hyeyeon,Kang Hyeyeon,강혜연,혜연,1990-12-08,BESTie,South Korea,,,F
Hyeyeon,Cho Hyeyeon,조혜연,혜연,2000-08-05,Gugudan,South Korea,,Gugudan Oguogu,F
Hyogyeong,Jang Hyogyeong,장효경,효경,1999-11-15,ARIAZ,South Korea,,,F
Hyojin,Kim Hyojin,김효진,효진,1994-04-22,ONF,South Korea,Seoul,,M
Hyojung,Choi Hyojung,최효정,효정,1994-07-28,Oh My Girl,South Korea,Yangyang,,F
Hyomin,Park Sunyoung,박선영,효민,1989-05-30,T-ara,South Korea,Busan,,F
Hyorin,Kim Hyojung,김효정,효린,1991-01-11,SISTAR,South Korea,,,F
Hyosun,Lim Hyosun,임효선,효선,1998-07-10,H.U.B,South Korea,,,F
Hyosung,Jun Hyoseong,전효성,효성,1989-10-13,SECRET,South Korea,Cheongju,,F
Hyoyeon,Kim Hyoyeon,김효연,효연,1989-09-22,SNSD,South Korea,Incheon,,F
Hyuk,Han Sanghyuk,한상혁,혁,1995-07-05,VIXX,South Korea,Daejeon,Big Byung,M
Hyukjin,Jang Hyukjin,장혁진,혁진,1993-12-20,100%,South Korea,Busan,,M
Hyuna,Kim Hyuna,김현아,현아,1992-06-06,4minute,South Korea,Jeolla,,F
Hyuna,Moon Hyuna,문현아,현아,1987-01-19,,South Korea,Yeosu,,F
Hyunbin,Kwon Hyunbin,권현빈,현빈,1997-03-04,JBJ,South Korea,Seoul,,M
Hyungsik,Park Hyungsik,박형식,형식,1991-11-16,ZE:A,South Korea,Yongin,,M
Hyungwon,Chae Hyungwon,채형원,형원,1994-01-15,MONSTA X,South Korea,Gwangju,,M
Hyunho,Lee Hyunho,이현호,현호,1998-11-04,D-CRUNCH,South Korea,,,M
Hyunjae,Lee Jaehyun,이재현,현재,1997-09-13,The Boyz,South Korea,,,M
Hyunji,Kim Hyunji,김현지,현지,1992-06-30,Hashtag,South Korea,,,F
Hyunjin,Kim Hyunjin,김현진,현진,2000-11-15,LOONA,South Korea,Jeonju,Loona 1/3,F
Hyunjin,Hwang Hyunjin,황현진,현진,2000-03-20,Stray Kids,South Korea,Seoul,,M
Hyunjoo,Lee Hyunjoo,이현주,현주,1998-02-05,UNI.T,South Korea,Seoul,,F
Hyunjun,Lee Hyunjun,이현준,현준,1999-12-21,IZ,South Korea,,,M
Hyunkyung,Kim Hyunjong,김현종,현경,1998-09-05,Romeo,South Korea,,,M
Hyunmin,Byun Hyunmin,변현민,현민,1999-04-17,,South Korea,,,M
Hyunoh,Park Hyunoh,백현우,현우,1999-02-12,D-CRUNCH,South Korea,,,M
Hyunseong,Shim Hyunseong,심현성,현성,1993-06-09,Boyfriend,South Korea,Yeongcheon,,M
Hyunseong,Go Hyunseo,고현서,현서,1999-06-17,G-reyish,South Korea,,,F
Hyunseung,Jang Hyunseung,장현승,현승,1989-09-03,,South Korea,Suncheon,Troublemaker,M
Hyunsik,Lim Hyunsik,임현식,현식,1992-03-07,BtoB,South Korea,Ilsan,,M
Hyunsoo,Kim Hyunsoo,김현수,현수,1995-04-12,D1CE,South Korea,,,M
Hyunsuk,Choi Hyunsuk,최현석,현석,1999-04-21,Treasure,South Korea,Daegu,,M
Hyunsuk,Yoon Hyunsuk,윤현석,현석,2001-09-08,CIX,South Korea,,,M
Hyunuk,Han Hyunuk,한현욱,현욱,1994-09-26,IN2IT,South Korea,,,M
Hyunwoo,Kim Hyunwoo,김현우,현우,2001-01-21,TRCNG,South Korea,,,M
Hyunwoo,Baek Hyunwoo,박현오,현오,1999-03-19,D-CRUNCH,South Korea,,,M
Hyunwook,Ji Hyunwook,지현욱,현욱,1998-07-01,D-CRUNCH,South Korea,,,M
Hyunwoong,Kim Hyunwoong,김현웅,현웅,1998-02-08,14U,South Korea,,,M
Hyunyoung,Cho Hyunyoung,조현영,현영,1991-08-11,Rainbow,South Korea,Seoul,"Rainbow Blaxx, Rainbow Pixie",F
I,Cha Yoonji,차윤지,아이,1996-12-02,,South Korea,Busan,,F
I.M,Lim Changkyun,임창균,아이엠,1996-01-26,MONSTA X,South Korea,Gwangju,,M
I.N,Yang Yeongin,양정인,아이엔,2001-02-08,Stray Kids,South Korea,Busan,,M
Iaan,Yoo Dongju,유동주,이안,2002-03-22,NeonPunch,South Korea,,,F
Ilhoon,Jung Ilhoon,정일훈,일훈,1994-10-04,BtoB,South Korea,Seoul,,M
Inho,Hwang Inho,황인호,인호,1993-06-21,IN2IT,South Korea,,,M
Inpyo,Lee Inpyo,이인표,인표,1995-08-14,IN2IT,South Korea,,,M
Inseong,Kim Inseong,김인성,인성,1993-07-12,SF9,South Korea,,,M
Inseong,Jeong Inseong,정인성,인성,1994-07-01,KNK,South Korea,,,M
Insoo,Kang Insoo,강인수,인수,1988-03-10,MYNAME,South Korea,Suwon,,M
Irene,Bae Juhyun,배주현,아이린,1991-03-29,Red Velvet,South Korea,Daegu,,F
Isaac,Voo Isaak,부 아이젝,아이젝,1994-12-12,IN2IT,Malaysia,,,M
Isol,,,이솔,1997-05-01,Lusty,South Korea,Seoul,,F
IU,Lee Jieun,이지은,아이유,1993-05-16,,South Korea,Seoul,,F
J,Lee Yeji,이예지,제이,1998-02-12,ANS,South Korea,,,F
J-Hoon,Lim Junghoon,임정훈,제이훈,1990-07-15,B.I.G,South Korea,Seoul,,M
J-Hope,Jung Hoseok,정호석,제이홉,1994-02-18,BTS,South Korea,Gwangju,,M
J-Kid,Han Jeonghoon,한정훈,제이키드,2000-02-14,ENOi,South Korea,,,M
J-Us,Lee Seungjoon,이승준,제이어스,1995-01-13,ONF,South Korea,Seoul,,M
J.seph,Kim Taehyung,김태형,제이셉,1992-06-21,KARD,South Korea,,,M
J.YOU,Kim Jaeyu,김제유,제유,2000-11-02,TOO,South Korea,,,M
Jackson,Jackson Wang,잭슨 왕,잭슨,1994-03-28,GOT7,Hong Kong,Hong Kong,,M
Jacob,Bae Joonyoung,배준영,제이콥,1997-05-30,The Boyz,South Korea,Toronto,,M
Jacob,Zhang Peng,장펑,제이콥,1996-09-07,VAV,China,,,M
Jae,Park Jaehyung,박제형,제이,1992-09-15,DAY6,South Korea,Buenos Aires,,M
Jaebin,Deung Bin,등빈,재빈,1997-02-13,VARSITY,China,Hunan,,M
Jaechan,Park Jaechan,박재찬,재찬,2001-12-06,Dongkiz,South Korea,,,M
Jaehan,Kim Jaehan,김재한,재한,1995-07-01,Spectrum,South Korea,,,M
Jaehee,Lee Jaehee,이재희,재희,2004-03-18,Weeekly,South Korea,,,F
Jaeho,Kim Jaeho,김재호,재호,1992-09-17,HISTORY,South Korea,,,M
Jaehwan,Kim Jaehwan,김재환,재환,1996-05-27,Wanna One,South Korea,Seoul,,M
Jaehyo,Ahn Jaehyo,안재효,재효,1990-12-23,Block B,South Korea,Busan,,M
Jaehyuk,Yoon Jaehyuk,윤재혁,재혁,2001-07-23,Treasure,South Korea,,,M
Jaehyun,Jung Yoonoh,정윤오,재현,1997-02-14,NCT,South Korea,Seoul,"NCT U, NCT 127",M
Jaehyun,Kim Jaehyun,김재현,재현,1994-07-15,N.Flying,South Korea,Seoul,,M
Jaehyun,Bong Jaehyun,봉재현,재현,1999-01-04,Golden Child,South Korea,,,M
Jaejin,Lee Jaejin,이재진,재진,1991-12-17,FTISLAND,South Korea,Cheongju,,M
Jaejoong,Kim Jaejoong,김재중,재중,1986-01-26,JYJ,South Korea,Gongju,,M
Jaekyung,Kim Jaekyung,김재경,재경,1988-12-24,Rainbow,South Korea,Seoul,Rainbow Blaxx,F
Jaemin,Na Jaemin,나재민,재민,2000-08-13,NCT,South Korea,,NCT Dream,M
Jaeseok,Park Jaeseok,박재석,재석,1995-11-20,,South Korea,,,M
Jaeun,Ha Jaeun,한재운,재운,1999-09-28,ARGON,South Korea,,,M
Jaeyoon,Lee Jaeyoon,이재윤,재윤,1994-08-09,SF9,South Korea,,,M
Jaeyun,Lee Jaeyun,이재윤,이재윤,2000-08-16,TOO,South Korea,,,M
Jamie,Park Jimin,박지민,박지민,1997-07-05,15&,South Korea,Junggu,,F
Jane,Sung Jiyeon,성지연,제인,1997-12-20,MOMOLAND,South Korea,Changwon,,F
Jangjun,Lee Jangjun,이장준,장준,1997-03-03,Golden Child,South Korea,,,M
Jason,Kim Byeongkwan,김병관,제이슨,1996-08-13,A.C.E,South Korea,Seoul,,M
Jay,Kim Jinhwan,김진환,제이,1994-02-07,iKON,South Korea,Jeju,,M
JB,Im Jaebum,임재범,제이비,1994-01-06,GOT7,South Korea,Goyang,,M
Jea,Kim Hyojin,김효진,제아,1981-09-18,Brown Eyed Girls,South Korea,,,F
Jeewon,Kim Jiwon,김지원,지원,1999-04-01,Cignature,South Korea,Busan,,F
Jehyun,Moon Jehyun,문제현,제현,1999-04-20,1TEAM,South Korea,,,M
Jei,Kim Jinhee,김진희,재이,1989-09-05,Fiestar,South Korea,Bucheon,,F
Jen,Kim Yehyeon,김예현,젠,1997-03-27,UNVS,South Korea,,,M
Jenissi,Kim Taeyang,김태양,제니씨,1991-08-02,,South Korea,Seoul,,M
Jennie,Kim Jennie,김제니,제니,1996-01-16,BLACKPINK,South Korea,Anyang,,F
Jenny,Lee Soyul,이소율,제니,1996-09-04,DIA,South Korea,Seoul,,F
Jeno,Lee Jeno,이제노,제노,2000-04-23,NCT,South Korea,,NCT Dream,M
Jeon Woong,Jeon Woong,전웅,전웅,1997-10-15,AB6IX,South Korea,,,M
Jeonghan,Yoon Jeonghan,윤정한,정한,1995-10-04,Seventeen,South Korea,Seoul,,M
Jeonghee,Go Jeonghee,고정희,정희,2000-03-11,Favorite,South Korea,Incheon,,F
Jeongkyun,Jeong Jeongkyun,정정균,정균,1987-11-27,,South Korea,,,M
Jeongmin,Lee Jeongmin,이정민,정민,1994-02-01,Boyfriend,South Korea,Suwon,,M
Jeongseung,Park Jeongseung,박정승,정승,2002-05-20,D-CRUNCH,South Korea,,,M
Jeonguk,Kim Jeonguk,김정욱,정욱,1993-03-20,24K,South Korea,Busan,,M
Jeongwoo,Park Jeongwoo,박정우,정우,2004-09-28,Treasure,South Korea,,,M
Jeongyeon,Yoo Jeongyeon,유정연,정연,1996-11-01,Twice,South Korea,Suwon,,F
Jeonyul,Jeon Yuri,전유리,전율,1994-03-20,Stellar,South Korea,Seoul,,F
Jerome,Oh Sungmin,오성민,제롬,2001-08-25,TOO,South Korea,,,M
Jerrry,Ahn Sohyun,안소현,제리,1992-08-27,Tahiti,South Korea,Seoul,,F
Jessica,Jessica Jung,제시카 정,제시카,1989-04-18,,South Korea,,,F
Ji Hansol,Ji Hansol,지한솔,지한솔,1994-11-21,Newkidd,South Korea,Busan,,M
Jia,Meng Jia,멍지아,지아,1989-02-03,miss A,China,Changja,,F
Jiae,Yoo Jiae,유지애,지애,1993-05-21,Lovelyz,South Korea,Seoul,,F
Jiae,Kim Jiae,김지애,지애,1995-10-31,Wassup,South Korea,,,F
Jiahn,Yoo Jiahn,유지안,지안,1992-04-01,IN2IT,South Korea,,,M
Jibeom,Kim Jibeom,김지범,지범,1999-02-03,Golden Child,South Korea,,,M
Jieun,Song Jieun,송지은,지은,1990-05-05,SECRET,South Korea,Seoul,,F
Jihan,Han Jihyo,한지효,지한,2004-07-12,Weeekly,South Korea,,,F
Jiheon,Baek Jiheon,백지헌,지헌,2003-04-17,fromis_9,South Korea,Jeolla,,F
Jiho,Kim Jiho,김지호,지호,1997-04-04,Oh My Girl,South Korea,Okcheon,,F
Jihoo,Lim Soojung,임수정,지후,1998-08-05,IZ,South Korea,,,M
Jihoon,Park Jihoon,박지훈,지훈,1999-05-29,Wanna One,South Korea,Masan,,M
Jihoon,Park Jihoon,박지훈,지훈,2000-03-14,Treasure,South Korea,Busan,,M
Jihun,Kim Jihun,김지훈,지훈,2000-01-09,TRCNG,South Korea,Daegu,,M
Jihun,Kim Jihun,김지훈,지훈,1995-02-20,KNK,South Korea,,,M
Jihyo,Park Jisoo,박지수,지효,1997-02-01,Twice,South Korea,Guri,,F
Jihyun,Nam Jihyun,남지현,지현,1990-01-09,4minute,South Korea,Seoul,,F
Jimin,Shin Jimin,신지민,지민,1991-01-08,AoA,South Korea,Seoul,AOA BLACK,F
Jimin,Park Jimin,박지민,지민,1995-10-13,BTS,South Korea,Busan,,M
JIN,Park Myungeun,박명은,진,1996-06-12,Lovelyz,South Korea,Busan,,F
Jin,Kim Seokjin,김석진,진,1992-12-04,BTS,South Korea,Gwacheon,,M
Jin Jin,Park Jinwoo,박진우,진진,1996-03-15,ASTRO,South Korea,Nowon,,M
JinE,Shin Hyejin,신혜진,진이,1995-01-22,,South Korea,Pohang,,F
Jingyu,Lee Jingyu,이진규,진규,1998-04-22,Astin,South Korea,,,M
Jinho,Jo Jinho,조진호,조진호,1992-04-17,PENTAGON,South Korea,,,M
Jinhong,Kim Jinhong,김진홍,진홍,1998-01-02,24K,South Korea,Seoul,,M
Jinhoo,Kim Jinwook,김진욱,진후,1995-08-02,UP10TION,South Korea,Changwon,,M
Jinhui,,,진희,1996-11-21,Lusty,South Korea,Seongnam,,F
Jinju,Park Jinju,박진주,진주,1990-04-28,,South Korea,,,F
Jinkwon,Kim Jinkwon,김진권,진권,2001-01-31,Newkidd,South Korea,,,M
Jinny,Park Jinhee,박진희,지니,1998-01-19,SECRET NUMBER,South Korea,California,,F
Jinsol,Lee Jinsol,이진솔,진솔,2001-12-04,APRIL,South Korea,Andong,,F
JinSoul,Jung Jinsol,정진솔,진솔,1997-06-13,LOONA,South Korea,,Loona Odd Eye Circle,F
Jinsung,Jung Jinsung,정진성,진성,2002-03-30,1the9,South Korea,Seoul,,M
Jinwoo,Kim Jinwoo,김진우,진우,1991-09-26,WINNER,South Korea,Imja,,M
Jinwoo,Lee Jinwoo,이진우,진우,1996-02-20,1TEAM,South Korea,,,M
Jinwoo,Park Jinwoo,박진우,진우,2000-01-12,ENOi,South Korea,,,M
Jinwoo,Lee Jinwoo,이진우,진우,2004-09-13,TEEN TEEN,South Korea,,,M
Jinyoung,Jung Jinyoung,정진영,진영,1991-11-18,B1A4,South Korea,Chungju,,M
Jinyoung,Park Jinyoung,박진영,진영,1994-09-22,GOT7,South Korea,Changwon,,M
Jinyoung,Bae Jinyoung,배진영,진영,2000-05-10,CIX,South Korea,Seoul,,M
Jinyoung,Woo Jinyoung,우진영,진영,1997-05-31,D1CE,South Korea,,,M
Jisan,Choi Jinsang,최지상,지산,1999-11-03,Hot Blood Youth,South Korea,,,M
Jisoo,Seo Jisoo,서지수,지수,1994-02-11,Lovelyz,South Korea,Incheon,,F
Jisoo,Kim Jisoo,김지수,지수,1995-01-03,BLACKPINK,South Korea,Seoul,,F
Jisoo,Shin Jisoo,신지수,지수,1994-02-28,Tahiti,South Korea,Chuncheon,,F
Jisoo,Jung Jisoo,정지수,지수,2003-11-22,Busters,South Korea,,,F
Jisook,Kim Jisook,김지숙,지숙,1990-07-18,Rainbow,South Korea,Suwon,Rainbow Pixie,F
Jisu,Choi Jisu,최지수,지수,2000-01-19,TOO,South Korea,,,M
Jisun,Roh Jisun,노지선,지선,1998-11-23,fromis_9,South Korea,Seoul,,F
Jisun,Hwang Jisun,황지선,지선,1989-10-17,S#aFLA,South Korea,,,F
Jisung,Park Jisung,박지성,지성,2002-02-05,NCT,South Korea,,NCT Dream,M
Jisung,Yoon Jisung,윤지성,지성,1991-03-08,Wanna One,South Korea,Wonju,,M
Jisung,Kim Jisung,김지성,지성,2000-12-21,TRCNG,South Korea,,,M
Jiu,Kim Minji,김민지,지유,1994-05-17,Dreamcatcher,South Korea,Daejeon,,F
Jiwon,Yang Jiwon,양지원,지원,1988-04-05,UNI.T,South Korea,Seoul,SPICA-S,F
Jiwon,Park Jiwon,박지원,지원,1998-03-20,fromis_9,South Korea,Busan,,F
Jiwon,Heo Jiwon,허지원,지원,2000-09-04,Cherry Bullet,South Korea,,,F
Jiwoo,Jeon Jiwoo,전지우,지우,1996-10-04,KARD,South Korea,,,F
Jiyeon,Park Jiyeon,박지연,지연,1993-06-07,T-ara,South Korea,Seoul,,F
Jiyoon,Jeon Jiyoon,전지윤,지윤,1990-10-15,4minute,South Korea,Seoul,2YOON,F
Jiyoon,Woo Jiyoon,우지윤,지윤,1996-01-06,Bolbbalgan4,South Korea,Yeongju,,F
Jiyoon,Shin Jiyoon,신지윤,지윤,2002-03-02,Weeekly,South Korea,,,F
Jiyou,Im Changsook,임창숙,지유,1989-06-15,Two X,South Korea,,,F
Jiyoung,Kang Jiyoung,강지영,지영,1994-01-18,,South Korea,Paju,,F
Jiyoung,Ahn Jiyoung,안지영,지영,1995-09-14,Bolbbalgan4,South Korea,Yeongju,,F
Jiyul,Yang Jungyoon,양정윤,지율,1991-07-30,,South Korea,Seoul,,F
JJ,Jun Jihyeok,전진혁,제이제이,1998-12-11,DUSTIN,South Korea,,,M
JK,Kim Jikang,김지강,지강,1998-03-17,Girlkind,South Korea,,,F
Johnny,John Seo,존 서,쟈니,1995-02-09,NCT,USA,Chicago,NCT 127,M
Johyun,Shin Jiwon,신지원,조현,1996-04-14,Berry Good,South Korea,,,F
Jongho,Choi Jongho,최종호,종호,2000-10-12,ATEEZ,South Korea,,,M
Jonghoon,Choi Jonghoon,최종훈,종훈,1990-03-07,FTISLAND,South Korea,Seoul,,M
Jonghwan,Jo Jonghwan,조종환,종환,1992-11-23,100%,South Korea,Seoul,,M
Jonghyeong,Kim Jonghyeong,김종형,종형,2002-04-13,Dongkiz,South Korea,,,M
Jonghyun,Kim Jonghyun,김종현,종현,1990-04-08,SHINee,South Korea,Seoul,,M
Jonghyun,Lee Jonghyun,이종현,종현,1990-05-15,CNBLUE,South Korea,Busan,,M
Jongup,Moon Jongup,문종업,종업,1995-02-06,B.A.P,South Korea,Seoul,,M
JOO,Jung Minjoo,정민주,주,1990-10-11,,South Korea,Seoul,,F
Joo E,Lee Joowon,이주원,주이,1999-08-18,MOMOLAND,South Korea,Bucheon,,F
Jooan,Im Jimyoung,임지명,주안,1996-10-04,We In The Zone,South Korea,Dongtan,,M
Joochan,Hong Joochan,홍주찬,주찬,1999-07-31,Golden Child,South Korea,,,M
Jooheon,Lee Jooheon,이주헌,주헌,1994-10-06,MONSTA X,South Korea,Daegu,,M
Jooyeon,Lee Jooyeon,이주연,주연,1987-03-19,,South Korea,Seoul,,F
Joshua,Hong Jisoo,홍지수,조슈아,1995-12-30,Seventeen,USA,Los Angeles,,M
Joy,Park Sooyoung,박수영,조이,1996-09-03,Red Velvet,South Korea,Jeju,,F
JR,Kim Jonghyun,김종현,제이알,1995-06-08,NU'EST,South Korea,Gangwon,NU'EST W,M
Ju-ne,Koo Junhoe,구준회,준회,1997-03-31,iKON,South Korea,Seoul,,M
Jueun,Lee Jooeun,이주은,주은,1995-07-07,DIA,South Korea,Suwon,BinChaenHyunSeuS,F
Jueun,Jo Jueun,조주은,주은,2001-01-27,ARIAZ,South Korea,,,F
Juhaknyeon,Ju Haknyeon,주학년,주학년,1999-03-09,The Boyz,South Korea,Jeju,,M
Juju,Park Juyoung,박주영,쥬쥬,1996-01-03,Gate9,South Korea,Changwon,,F
Jun,Weng Junhui,원쥔훼이,준,1996-06-10,Seventeen,China,Shenzen,,M
Jun,Lee Junyoung,이준영,준,1997-01-22,U-KISS,South Korea,,,M
Jun,Park Junhee,박준희,준,1994-06-02,A.C.E,South Korea,Jeolla,,M
