individual;mode;choice;ttme;invc;invt;gc;hinc;psize
194;2;0;44;49;678;152;4;2
194;3;1;30;48;430;113;4;2
194;4;0;0;14;629;109;4;2
195;1;0;64;48;63;58;18;3
195;2;1;10;21;255;60;18;3
195;3;0;53;13;397;73;18;3
195;4;0;0;4;324;53;18;3
196;1;0;64;58;93;72;15;2
196;2;1;10;30;315;78;15;2
196;3;0;53;13;346;65;15;2
196;4;0;0;6;316;54;15;2
197;1;0;69;59;94;69;26;1
197;2;0;34;30;361;70;26;1
197;3;0;35;24;406;68;26;1
197;4;1;0;10;270;39;26;1
198;1;1;30;111;105;122;40;1
198;2;0;34;71;596;136;40;1
198;3;0;35;32;590;96;40;1
198;4;0;0;27;577;90;40;1
199;1;1;5;64;80;76;70;2
199;2;0;44;30;348;83;70;2
199;3;0;53;24;393;84;70;2
199;4;0;0;7;291;51;70;2
200;1;1;5;60;85;73;45;4
200;2;0;44;24;379;81;45;4
200;3;0;53;19;424;83;45;4
200;4;0;0;3;337;54;45;4
201;1;0;64;97;188;125;26;3
201;2;0;44;76;825;201;26;3
201;3;1;16;38;810;161;26;3
201;4;0;0;15;803;137;26;3
202;1;0;69;91;117;104;35;1
202;2;0;34;77;630;145;35;1
202;3;0;35;38;624;106;35;1
202;4;1;0;29;540;88;35;1
203;1;0;69;59;114;72;4;1
203;2;0;34;16;378;57;4;1
203;3;1;5;14;370;54;4;1
203;4;0;0;17;335;53;4;1
204;1;0;69;60;66;67;20;1
204;2;0;34;34;352;72;20;1
204;3;1;10;37;250;64;20;1
204;4;0;0;13;307;46;20;1
205;1;0;69;107;144;123;45;1
205;2;0;34;89;879;184;45;1
205;3;1;30;35;775;119;45;1
205;4;0;0;37;868;131;45;1
206;1;0;69;81;124;94;40;1
206;2;0;34;69;605;135;40;1
206;3;0;35;30;599;95;40;1
206;4;1;0;30;720;108;40;1
207;1;1;45;126;135;141;40;1
207;2;0;34;70;596;135;40;1
207;3;0;35;31;590;95;40;1
207;4;0;0;32;577;95;40;1
208;1;0;69;59;86;68;2;1
208;2;0;34;15;360;54;2;1
208;3;1;50;29;265;57;2;1
208;4;0;0;13;300;46;2;1
209;1;0;69;81;124;94;20;1
209;2;0;34;35;605;100;20;1
209;3;0;35;31;599;96;20;1
209;4;1;0;27;510;82;20;1
210;1;0;64;66;140;87;70;4
210;2;0;44;54;670;156;70;4
210;3;0;53;33;664;134;70;4
210;4;1;0;12;540;94;70;4
