identifier,constant,sex,age,nmarried,nchildren,religious,education,occupation,rate_marriage,naffairs
1885,1.0,0,32.0,15.0,1,5,16.0,5,3,0.0
1892,1.0,1,32.0,10.0,1,4,18.0,5,4,0.0
1895,1.0,0,32.0,15.0,1,2,14.0,3,4,0.0
1896,1.0,0,22.0,1.5,0,3,17.0,5,5,0.0
1897,1.0,1,27.0,4.0,1,4,17.0,4,4,0.0
1899,1.0,0,52.0,15.0,1,5,14.0,1,5,0.0
1904,1.0,0,27.0,7.0,1,2,12.0,1,2,0.0
1905,1.0,0,27.0,7.0,1,3,12.0,1,4,0.0
1908,1.0,0,42.0,15.0,1,2,14.0,1,4,0.0
1916,1.0,0,42.0,15.0,1,4,14.0,5,4,0.0
1918,1.0,1,27.0,7.0,1,4,14.0,3,3,0.0
1920,1.0,1,27.0,7.0,1,2,20.0,6,2,0.0
1930,1.0,0,42.0,15.0,1,3,12.0,3,3,0.0
1940,1.0,1,27.0,4.0,1,3,16.0,3,5,0.0
1947,1.0,0,27.0,7.0,1,3,14.0,1,4,0.0
1949,1.0,0,22.0,1.5,0,2,14.0,4,5,0.0
1951,1.0,0,27.0,4.0,1,4,14.0,1,4,0.0
1952,1.0,0,22.0,4.0,0,4,14.0,5,5,0.0
1960,1.0,0,22.0,1.5,0,2,16.0,4,5,0.0
9001,1.0,1,47.0,15.0,0,4,14.0,5,4,0.0
9012,1.0,1,37.0,10.0,1,2,18.0,6,2,0.0
9023,1.0,1,37.0,15.0,1,3,17.0,5,4,0.0
9029,1.0,0,27.0,4.0,1,2,16.0,1,4,0.0
6,1.0,1,27.0,1.5,0,3,18.0,4,4,3.0
12,1.0,0,27.0,4.0,1,3,17.0,1,5,3.0
43,1.0,1,37.0,15.0,1,5,18.0,6,2,7.0
53,1.0,0,32.0,10.0,1,3,17.0,5,2,12.0
67,1.0,1,22.0,0.125,0,4,16.0,5,5,1.0
79,1.0,0,22.0,1.5,1,2,14.0,1,5,1.0
122,1.0,1,37.0,15.0,1,4,14.0,5,2,12.0
126,1.0,0,22.0,1.5,0,2,14.0,3,4,7.0
133,1.0,1,37.0,15.0,1,2,18.0,6,4,2.0
138,1.0,0,32.0,15.0,1,4,12.0,3,2,3.0
154,1.0,0,37.0,15.0,1,4,14.0,4,2,1.0
159,1.0,0,42.0,15.0,1,3,17.0,1,4,7.0
174,1.0,0,42.0,15.0,1,5,9.0,4,1,12.0
176,1.0,1,37.0,10.0,1,2,20.0,6,2,12.0
181,1.0,0,32.0,15.0,1,3,14.0,1,2,12.0
182,1.0,1,27.0,4.0,0,1,18.0,6,5,3.0
186,1.0,1,37.0,10.0,1,2,18.0,7,3,7.0
189,1.0,0,27.0,4.0,0,3,17.0,5,5,7.0
204,1.0,1,42.0,15.0,1,4,16.0,5,5,1.0
215,1.0,0,47.0,15.0,1,5,14.0,4,5,1.0
232,1.0,0,27.0,4.0,1,3,18.0,5,4,7.0
233,1.0,0,27.0,7.0,1,5,14.0,1,4,1.0
252,1.0,1,27.0,1.5,1,3,17.0,5,4,12.0
253,1.0,0,27.0,7.0,1,4,14.0,6,2,12.0
274,1.0,0,42.0,15.0,1,4,16.0,5,4,3.0
275,1.0,0,27.0,10.0,1,4,12.0,7,3,7.0
287,1.0,1,27.0,1.5,0,2,18.0,5,2,1.0
288,1.0,1,32.0,4.0,0,4,20.0,6,4,1.0
325,1.0,0,27.0,7.0,1,3,14.0,1,3,1.0
328,1.0,0,32.0,10.0,1,4,14.0,1,4,3.0
344,1.0,1,27.0,4.0,1,2,18.0,7,2,3.0
353,1.0,0,17.5,0.75,0,5,14.0,4,5,1.0
354,1.0,0,32.0,10.0,1,4,18.0,1,5,1.0
367,1.0,0,32.0,7.0,1,2,17.0,6,4,7.0
369,1.0,1,37.0,15.0,1,2,20.0,6,4,7.0
390,1.0,0,37.0,10.0,0,1,20.0,5,3,7.0
392,1.0,0,32.0,10.0,1,2,16.0,5,5,12.0
423,1.0,1,52.0,15.0,1,2,20.0,6,4,7.0
432,1.0,0,42.0,15.0,1,1,12.0,1,3,7.0
436,1.0,1,52.0,15.0,1,2,20.0,6,3,1.0
483,1.0,1,37.0,15.0,1,3,18.0,6,5,2.0
513,1.0,0,22.0,4.0,0,3,12.0,3,4,12.0
516,1.0,1,27.0,7.0,1,1,18.0,6,2,12.0
518,1.0,1,27.0,4.0,1,3,18.0,5,5,1.0
520,1.0,1,47.0,15.0,1,4,17.0,6,5,12.0
526,1.0,0,42.0,15.0,1,4,12.0,1,1,12.0
528,1.0,1,27.0,4.0,0,3,14.0,3,4,7.0
553,1.0,0,32.0,7.0,1,4,18.0,4,5,7.0
576,1.0,1,32.0,0.417,1,3,12.0,3,4,1.0
611,1.0,1,47.0,15.0,1,5,16.0,5,4,3.0
625,1.0,1,37.0,15.0,1,2,20.0,5,4,12.0
635,1.0,1,22.0,4.0,1,2,17.0,6,4,7.0
646,1.0,1,27.0,4.0,0,2,14.0,4,5,1.0
657,1.0,0,52.0,15.0,1,5,16.0,1,3,7.0
659,1.0,1,27.0,4.0,0,3,14.0,3,3,1.0
666,1.0,0,27.0,10.0,1,4,16.0,1,4,1.0
679,1.0,1,32.0,7.0,1,3,14.0,7,4,1.0
729,1.0,1,32.0,7.0,1,2,18.0,4,1,7.0
755,1.0,1,22.0,1.5,0,1,14.0,3,2,3.0
758,1.0,1,22.0,4.0,1,3,18.0,6,4,7.0
770,1.0,1,42.0,15.0,1,4,20.0,6,4,7.0
786,1.0,0,57.0,15.0,1,1,18.0,5,4,2.0
797,1.0,0,32.0,4.0,1,3,18.0,5,2,7.0
811,1.0,1,27.0,4.0,1,1,16.0,4,4,1.0
834,1.0,1,32.0,7.0,1,4,16.0,1,4,7.0
858,1.0,1,57.0,15.0,1,1,17.0,4,4,2.0
885,1.0,0,42.0,15.0,1,4,14.0,5,2,7.0
893,1.0,1,37.0,10.0,1,1,18.0,5,3,7.0
927,1.0,1,42.0,15.0,1,3,17.0,6,1,3.0
928,1.0,0,52.0,15.0,1,3,14.0,4,4,1.0
933,1.0,0,27.0,7.0,1,3,17.0,5,3,2.0
951,1.0,1,32.0,7.0,1,2,12.0,4,2,12.0
968,1.0,1,22.0,4.0,0,4,14.0,2,5,1.0
972,1.0,1,27.0,7.0,1,3,18.0,6,4,3.0
975,1.0,0,37.0,15.0,1,1,18.0,5,5,12.0
977,1.0,0,32.0,15.0,1,3,17.0,1,3,7.0
981,1.0,0,27.0,7.0,0,2,17.0,5,5,7.0
986,1.0,0,32.0,7.0,1,3,17.0,5,3,1.0
1002,1.0,1,32.0,1.5,1,2,14.0,2,4,1.0
1007,1.0,0,42.0,15.0,1,4,14.0,1,2,12.0
1011,1.0,1,32.0,10.0,1,3,14.0,5,4,7.0
1035,1.0,1,37.0,4.0,1,1,20.0,6,3,7.0
1050,1.0,0,27.0,4.0,1,2,16.0,5,3,1.0
1056,1.0,0,42.0,15.0,1,3,14.0,4,3,12.0
1057,1.0,1,27.0,10.0,1,5,20.0,6,5,1.0
1075,1.0,1,37.0,10.0,1,2,20.0,6,2,12.0
1080,1.0,0,27.0,7.0,1,1,14.0,3,3,12.0
1125,1.0,0,27.0,7.0,1,4,12.0,1,2,3.0
1131,1.0,1,32.0,10.0,1,2,14.0,4,4,3.0
1138,1.0,0,17.5,0.75,1,2,12.0,1,3,12.0
1150,1.0,0,32.0,15.0,1,3,18.0,5,4,12.0
1163,1.0,0,22.0,7.0,0,4,14.0,4,3,2.0
1169,1.0,1,32.0,7.0,1,4,20.0,6,5,1.0
1198,1.0,1,27.0,4.0,1,2,18.0,6,2,7.0
1204,1.0,0,22.0,1.5,1,5,14.0,5,3,1.0
1218,1.0,0,32.0,15.0,0,3,17.0,5,1,12.0
1230,1.0,0,42.0,15.0,1,2,12.0,1,2,12.0
1236,1.0,1,42.0,15.0,1,3,20.0,5,4,7.0
1247,1.0,1,32.0,10.0,0,2,18.0,4,2,12.0
1259,1.0,0,32.0,15.0,1,3,9.0,1,1,12.0
1294,1.0,1,57.0,15.0,1,5,20.0,4,5,7.0
1353,1.0,1,47.0,15.0,1,4,20.0,6,4,12.0
1370,1.0,0,42.0,15.0,1,2,17.0,6,3,2.0
1427,1.0,1,37.0,15.0,1,3,17.0,6,3,12.0
1445,1.0,1,37.0,15.0,1,5,17.0,5,2,12.0
1460,1.0,1,27.0,10.0,1,2,20.0,6,4,7.0
1480,1.0,1,37.0,15.0,1,2,16.0,5,4,2.0
1505,1.0,0,32.0,15.0,1,1,14.0,5,2,12.0
1543,1.0,1,32.0,10.0,1,3,17.0,6,3,7.0
1548,1.0,1,37.0,15.0,1,4,18.0,5,1,2.0
1550,1.0,0,27.0,1.5,0,2,17.0,5,5,7.0
1561,1.0,0,47.0,15.0,1,2,17.0,5,2,3.0
1564,1.0,1,37.0,15.0,1,2,17.0,5,4,12.0
1573,1.0,0,27.0,4.0,0,2,14.0,5,5,12.0
1575,1.0,0,27.0,10.0,1,4,14.0,1,5,2.0
1599,1.0,0,22.0,4.0,1,3,16.0,1,3,1.0
1622,1.0,1,52.0,7.0,0,4,16.0,5,5,12.0
1629,1.0,0,27.0,4.0,1,1,16.0,3,5,2.0
1664,1.0,0,37.0,15.0,1,2,17.0,6,4,7.0
1669,1.0,0,27.0,4.0,0,1,17.0,3,1,2.0
1674,1.0,0,17.5,0.75,1,2,12.0,3,5,12.0
1682,1.0,0,32.0,15.0,1,5,18.0,5,4,7.0
1685,1.0,0,22.0,4.0,0,1,16.0,3,5,7.0
1697,1.0,1,32.0,4.0,1,4,18.0,6,4,2.0
1716,1.0,0,22.0,1.5,1,3,18.0,5,2,1.0
1730,1.0,0,42.0,15.0,1,2,17.0,5,4,3.0
1731,1.0,1,32.0,7.0,1,4,16.0,4,4,1.0
1732,1.0,1,37.0,15.0,0,3,14.0,6,2,12.0
1743,1.0,1,42.0,15.0,1,3,16.0,6,3,1.0
1751,1.0,1,27.0,4.0,1,1,18.0,5,4,1.0
1757,1.0,1,37.0,15.0,1,4,20.0,7,3,2.0
1763,1.0,1,37.0,15.0,1,3,20.0,6,4,7.0
1766,1.0,1,22.0,1.5,0,2,12.0,3,3,3.0
1772,1.0,1,32.0,4.0,1,3,20.0,6,2,3.0
1776,1.0,1,32.0,15.0,1,5,20.0,6,5,2.0
1782,1.0,0,52.0,15.0,1,1,18.0,5,5,12.0
1784,1.0,1,47.0,15.0,0,1,18.0,6,5,12.0
1791,1.0,0,32.0,15.0,1,4,16.0,4,4,3.0
1831,1.0,0,32.0,15.0,1,3,14.0,3,2,7.0
1840,1.0,0,27.0,7.0,1,4,16.0,1,2,7.0
1844,1.0,1,42.0,15.0,1,3,18.0,6,2,12.0
1856,1.0,0,42.0,15.0,1,2,14.0,3,2,7.0
1876,1.0,1,27.0,7.0,1,2,17.0,5,4,12.0
1929,1.0,1,32.0,10.0,1,4,14.0,4,3,3.0
1935,1.0,1,47.0,15.0,1,3,16.0,4,2,7.0
1938,1.0,1,22.0,1.5,1,1,12.0,2,5,1.0
1941,1.0,0,32.0,10.0,1,2,18.0,5,4,7.0
1954,1.0,1,32.0,10.0,1,2,17.0,6,5,2.0
1959,1.0,1,22.0,7.0,1,3,18.0,6,2,2.0
9010,1.0,0,32.0,15.0,1,3,14.0,1,5,1.0
