;;;   
;;;   The lexicon was taken from Brill's rule based tagger v1.14,
;;;   trained on Brown corpus and Penn Treebank.
;;;   
;;;   Eric Brill (1992). A simple rule-based part of speech tagger.
;;;   In Proceedings of the workshop on Speech and Natural Language (pp. 112-116).
;;;   Association for Computational Linguistics.
;;;   
;;;   Copyright 1993 by the Massachusetts Institute of Technology and the
;;;   University of Pennsylvania. All rights reserved. MIT license.
;;;   
;;;   Additional words were added from the Twitter Part-of-Speech Annotated Data,
;;;   available under the Creative Commons Attribution 3.0 Unported license ("CC-BY").
;;;   Carnegie Mellon University. http://www.ark.cs.cmu.edu/TweetNLP
;;;   
;;;   Kevin Gimpel, Nathan Schneider, Brendan O'Connor, et al. (2011).
;;;   Part-of-Speech Tagging for Twitter: Annotation, Features, and Experiments.
;;;   In Proceedings of the Annual Meeting of the ACL, Portland, OR, June 2011.
;;;   
! .
!! .
!!! .
!!!! .
!!!!! .
!!!!!! .
!!!!!!! .
!!!!!!!! .
!. .
!? .
" "
# #
#1 CD
#2 CD
#GLEE NNP
#Glee NNP
#celtics NNPS
#fail NN
#fb NNP
#glee NNP
#howcome VB
#lakers NNPS
#shoutout NN
#teamceltics NNPS
#teamlakers NNPS
#win NN
Coats NNP
Cobb NNP
Cobbs NNS
Coble NNP
Cobo NNP
Cobra NNP
Coburg NNP
Coburn NNP
Coca NNP
Coca-Cola NNP
Cocaine NN
Coche-Dury NNP
Cochran NNP
Cochrane NNP
Cockburn NNP
Cockerel NNP
Cocktail NN
Cocktails NNS
Cocoa NNP
Cocom NNP
Coconut NNP
Coconuts NNPS
Cocoons NNS
Cocteau NNP
Cod NNP
Coda NNP
Coddington NNP
Code NNP
Code-Alarm NNP
Codevilla NNP
Codification NN
Codifying VBG
Cody NNP
Coe NNP
Coeditors NNS
Coelho NNP
Coen NNP
Coesfeld NNP
Coeur NNP
Coffee NNP
Coffee-House NNP
Coffee-shop NN
Coffey NNP
Coffield NNP
Coffin NNP
Cofide NNP
Cogan NNP
Cogefar NNP
Cogen NNP
Cogeneration NNP
Cognex NNP
Cognos NNP
Cohen NNP
Cohens NNPS
Coherent NNP
Cohn NNP
Cohodes NNP
Coiffet NNP
Coin NNP
Coincidences NNPS
Coincident JJ
Coincidentally RB
Coke NNP
Cokely NNP
Cokes NNS
Col. NNP
Cola NNP
Colavito NNP
Colbert NNP
Colby NNP
Colcord NNP
Cold NNP
Colder JJR
Coldwater NNP
Coldwell NNP
Cole NNP
Coleco NNP
Colee NNP
Colefax NNP
Coleman NNP
Coleridge NNP
Coles NNP
Coletta NNP
Colfax NNP
Colgate NNP
Colgate-Palmolive NNP
Colin NNP
Colinas NNP
Coliseum NNP
Collaborative NNP
Collagen NNP
Collateral NN
Collateralized NNP
Colleagues NNS
Collected NNP
Collectibles NNS
Collecting NNP
Collection NNP
Collections NNS
Collective NNP
Collectively RB
Collector NNP
Collectors NNS
Colleen NNP
College NNP
Colleges NNP
Collegiate NNP
Collett NNP
Collier NNP
Collingwood NNP
Collins NNP
Collinsville NNP
Collischon NNP
Collision NNP
Collor NNP
Colloton NNP
Collyer NNP
Colman NNP
Colmans NNPS
Colmer NNP
Colnaghi NNP
Colo NNP
Colo. NNP
Colodny NNP
Cologne NNP
Colombatto NNP
Colombia NNP
Colombian JJ
Colombians NNPS
Colombo NNP
Colon NN
Colonel NNP
Colonia NNP
Colonial NNP
Colonialism NN
Colonna NNP
Colonsville NNP
Colonus NNP
Colony NNP
Color NNP
Colorado NNP
Colorado-Ute NNP
ColoradoUte NNP
Colorama NN
Colorcoat NNP
Colored NNP
Colorful JJ
Colorliner NNP
Colorocs NNP
Colors NNS
Colosseum NNP
Colossians NNPS
Colossus NNP
Colquitt NNP
Cols NNP
Colson NNP
Colston NNP
Colt NNP
Colton NNP
Colts NNP
Coltsman NN
Colucci NNP
Columbia NNP
Columbiana NNP
Columbus NNP
Column NN
Columnist NNP
Columnists NNS
Columns NNS
Colvin NNP
Colzani NNP
Com NNP
ComFed NNP
Comair NNP
Comanche NNP
Comanches NNPS
Comany NNP
Combat NNP
Combatting VBG
Combe NNP
Combellack NNP
Combine VB
Combined VBN
Combining VBG
Combis NNPS
Combo NNP
Combs NNP
Combses NNPS
Combustion NNP
Comcast NNP
Comdisco NNP
Come VB
Comeau NNP
Comeback NNP
Comecon NNP
Comedian NN
Comedie NNP
Comedy NNP
Comend VB
Comenico NNP
Comer NNP
Comerica NNP
Comes VBZ
Comet NNP
Comex NNP
Comfed NNP
Comfort NNP
Comfortably RB
Comic NNP
Comics NNPS
Comin VBG
Cominco NNP
Cominform NNP
Coming VBG
Comique NNP
Comiskey NNP
Comission NNP
Comissioner NNP
Commack NNP
Command NNP
Commandeering VBG
Commander NNP
Commander-in-Chief NNP
Commander-in-Chief... :
Commanders NNPS
Commanding VBG
Commandment NN
Commands NNS
Commemorative NNP
Commencing VBG
Comment NN
Commentaries NNPS
Commentary NNP
Commentators NNS
Commenting VBG
Comments NNS
Commercants NNP
Commerce NNP
CommerceBancorp NNP
Commercial NNP
Commerciale NNP
Commercializing VBG
Commercials NNS
Commerzbank NNP
Commies NNPS
Commisioner NNP
Commissary NNP
Commission NNP
Commission-controlled JJ
Commission. NNP
Commissioned VBN
Commissioner NNP
Commissioners NNPS
Commissioning VBG
Commissions NNS
Commitment NNP
Committed VBN
Committee NNP
Committeeman NNP
Committeemen NNS
Committees NNS
Commodities NNS
Commodity NNP
Commodore NNP
Common NNP
Common-law JJ
Commoner NNP
Commonly RB
Commons NNP
Commonweal NNP
Commonwealth NNP
Commune NNP
Communese NNP
Communication NNP
Communications NNPS
Communion NNP
Communism NNP
Communisn NN
Communist NNP
Communist-designed JJ
Communist-inspired JJ
Communist-led JJ
Communist-type JJ
Communistic JJ
Communists NNPS
Communities NNPS
Community NNP
Compact NNP
Compagnie NNP
Compania NNP
Companies NNS
Companion NN
Company NNP
Compaore NNP
Compaq NNP
Comparable JJ
Comparable-store JJ
Comparative JJ
Compare VB
Compared VBN
Comparing VBG
Compassion NNP
Compassionately RB
Compelled VBN
Compensation NNP
Competent JJ
Competes VBZ
Competing VBG
Competition NN
Competitive JJ
Competitors NNS
Compeyson NNP
Compiegne NNP
Compilation NN
Compiled VBN
Compiler NN
Complaint NN
Complaints NNS
Complementing VBG
Complete JJ
Completed VBN
Completes VBZ
Completing VBG
Completion NN
Completions NNS
Complex NNP
Complexity NN
Compliance NNP
Complicating VBG
Complicity NN
Complying VBG
Components NNP
Composer NN
Composers NNPS
Composite NNP
Compound JJ
Compounding VBG
Comprecin NNP
Comprehensive NNP
Compress VB
Compression NN
Comprised VBN
Compromise NNP
Compromises NNS
Compromising VBG
Compson NNP
Compton NNP
Comptroller NNP
CompuChem NNP
CompuServe NNP
Compulsions NNP
Compulsive JJ
Compulsory JJ
Compumat NNP
Computation NNP
Computations NNS
Compute VB
Computer NNP
Computer-generated JJ
Computer-guided JJ
Computer-peripherals NNS
ComputerLand NNP
ComputerWorld NNP
Computerized JJ
Computers NNPS
Computerworld NNP
Computing VBG
Comrade NN
Comrades NNPS
Comroe NNP
Comsat NNP
Comstock NNP
Comstron NNP
Comtes NNP
Comus NNP
Comvik NNP
Con NNP
ConAgra NNP
Conable NNP
Conalco NNP
Conan NNP
Conant NNP
Conasupo NNP
Conaway NNP
Conceding VBG
Conceivably RB
Conceived VBN
Concept NNP
Conception NNP
Conceptions NNS
Concepts NNP
Conceptually RB
Concern NN
Concerned NNP
Concerning VBG
Concerns NNS
Concert NNP
Concert-Disc NNP
Concertante NNP
Concerto NNP
Concerts NNPS
Concessionaires NNS
Concetta NNP
Conchita NNP
Concise JJ
Concludes VBZ
Concluding VBG
Conclusions NNS
Concocts VBZ
Concord NNP
Concordance NN
Concorde NNP
Concordes NNP
Concrete NNP
Concurrence NN
Concurrent JJ
Concurrently RB
Conde NNP
Condensation NN
Conder NNP
Condit NNP
Condition NN
Conditions NNS
Condliffe NNP
Condominium NNP
Condoms NNS
Condor NNP
Condos NNS
Conduct NNP
Conducted VBN
Conductor NN
Conduit NNP
Conduits NNS
Cone NNP
Conestoga NNP
Coney NNP
Confabulation NN
Confair NNP
Confectioner NNP
Confectionery JJ
Confederacy NNP
Confederate NNP
Confederates NNS
Confederation NNP
Confederations NNPS
Confer NNP
Conferees NNS
Conference NNP
Conferences NNPS
Confess VB
Confession NN
Confessions NNPS
Confidence NN
Confident JJ
Confidential NNP
Confidently RB
Confiding VBG
Confindustria NNP
Confirmation NN
Confirming VBG
Confiscated VBN|JJ
Conflict NN
Conforming NN
Confrontation NN
Confronted VBN
Confucian NNP
Confucianism NNP
Confucius NNP
Confused VBN
Confusion NN
Confutatis FW
Confuted NNP
Cong NNP
Congdon NNP
Congel NNP
Conger NNP
Congo NNP
Congolese NNP
Congratulations NNS
Congregation NNP
Congregational NNP
Congregational-Baptist NNP
Congregationalism NNP
Congregationalist NN
Congregationalists NNS
Congress NNP
Congress's NNP
Congresses NNS
Congressional NNP
Congressman NNP
Congressmen NNS
Congresswoman NNP
Coniston NNP
Conklin NNP
Conlin NNP
Conlon NNP
Conlow NNP
Conmel NNP
Conn NNP
Conn. NNP
Conn.-based JJ
Conn.based JJ
Connall NNP
Connally NNP
Connaught NNP
Conneaut NNP
Connectables NNP
Connecticut NNP
Connecting NNP
Connection NN
Connections NNS
Connectors NNP
Connell NNP
Connelly NNP
Conner NNP
Connery NNP
Connick NNP
Connie NNP
Conning NNP
Connoisseur NNP
Connoisseurs NNS
Connolly NNP
Connor NNP
Connors NNP
Conoco NNP
Conquering NNP
Conquest NNP
Conquete NNP
Conrac NNP
Conrad NNP
Conrades NNP
Conradically RB
Conradie NNP
Conradies NNP
Conrail NNP
Conran NNP
Conreid NNP
Conroe NNP
Conroy NNP
Conscience NN
Consciousness NN
Conseco NNP
Conseil NNP
Consensus NNP
Consent NNP
Consequence NN
Consequences NNS
Consequently RB
Conservancy NNP
Conservation NNP
Conservationists NNS
Conservatism NN
Conservative NNP
Conservative-Communist JJ
Conservatives NNS
Conservatory NNP
Consider VB
Considerable JJ
Consideration NN
Considered VBN
Considering VBG
Consistent JJ
Consistently RB
Consisting VBG
Consitutional JJ
Consob NNP
Consolidated NNP
Consolidation NN
Consolo NNP
Consonantal JJ
Consort NNP
Consortium NNP
Conspicuous JJ
Conspicuously RB
Conspiracy NNP
Constable NNP
Constance NNP
Constant JJ
Constantin NNP
Constantine NNP
Constantino NNP
Constantinople NNP
Constantinos NNP
Constants NNS
Constar NNP
Constellation NNP
Constitution NNP
Constitutional NNP
Constitutions NNS
Constraints NNS
Construcciones NNP
Construct VB
Constructeurs NNP
Construction NN
Constructions NNP
Constructors NNPS
Consul NNP
Consulate-General NNP
Consultant NNP
Consultants NNP
Consultation NN
Consulting NNP
Consumer NNP
Consumer-electronics NNS
Consumers NNS
Consuming VBG
Consumption NN
Contact NN
Contacted VBN
Contacts NNPS
Container NNP
Containers NNPS
Containment NN
Contant NNP
Conte NNP
Contel NNP
Contemplating VBG
Contemplation NN
Contemporary NNP
Contempt NN
Contend VBP
Content JJ
Contest NNP
Context NN
ContiTrade NNP
Continent NN
Continental NNP
Continentals NNS
Continential NNP
Continuation NN
Continue VB
Continued VBN
Continues VBZ
Continuing VBG
Continuity NN
Continuous JJ
Continuum NN
Contra NNP
Contract NNP
Contracting VBG
Contraction NN
Contractors NNS
Contracts NNS
Contradictions NNP
Contrarian JJ
Contrarily RB
Contrary JJ
Contras NNPS
Contrast NN
Contrasted VBN
Contrasts NNS
Contribute VB
Contributing VBG
Contribution NNP
Contributions NNS
Control NNP
Controller NNP
Controls NNP
Conus NNP
Convair NNP
Convenience NNP
Conveniently RB
Convention NNP
Conventional JJ
Conversation NN
Conversations NNS
Conversely RB
Conversion NNP
Convertible JJ
Converts NNS
Convex NNP
Conveyance NN
Convict NNP
Conviction NN
Convinced VBN
Convincing VBG
Convocation NN
Convocations NNS
Convulsively RB
Conway NNP
Conyers NNP
Cooch NNP
Coogan NNP
Cook NNP
Cooke NNP
Cooked VBN
Cooker NNP
Cookie NNP
Cookie-Crisp NNP
Cookies NNS
Cooking NNP
Cool JJ
Cooler NNP
Coolers NNS
Coolest JJS
Coolidge NNP
Coolidges NNPS
Cooling NN
Coombs NNP
Coons NNP
Coontz NNP
Cooper NNP
Cooperation NNP
Cooperative NNP
Cooperatives NNP
Cooperman NNP
Coopers NNP
Coopersmith NNP
Coor NNP
Coordinated VBN
Coordinating NNP
Coordination NN
Coors NNP
Coors-Stroh NNP
Coosa NNP
Cop NNP
Copaken NNP
Copeland NNP
Copenhagen NNP
Copernican JJ
Copernicus NNP
Copernicus-the-astronomer NN
Copersucar NNP
Copiague NNP
Copie NNP
Copies NNS
Coping VBG
Copland NNP
Coplandesque JJ
Copley NNP
Copp NNP
Copper NN
Copperman NNP
Copperweld NNP
Coproduction NNP
Copy NNP
Copycat NN
Copying NNP
Copyright NNP
Corabi NNP
Coral NNP
Corash NNP
Corault NNP
Corazon NNP
Corbehem NNP
Corbin NN
Corby NNP
Corcoran NNP
Cordell NNP
Corder NNP
Cordier NNP
Cordis NNP
Cordoba NNP
Cordova NNP
Core NNP
CoreStates NNP
Corelli NNP
Corestates NNP
Corey NNP
Corinne NNP
Corinth NNP
Corinthian JJ
Corinthians NNPS
Coriolanus NNP
Corlopam NNP
Cormack NNP
Corn NN
Corne NNP
Corneilus NNP
Cornel NNP
Cornelius NNP
Cornell NNP
Cornell-Dubilier NNP
Corner NNP
Cornerback NN
Corners NNPS
Corney NNP
Cornfeld NNP
Cornfield NNP
Corning NNP
Cornish NNP
Cornona NNP
Cornwall NNP
Cornwallis NNP
Corolla NNP
Corollary NN
Corollas NNPS
Corona NNP
Coronado NNP
Coronation NNP
Coroner NN
Coronets NNPS
Corot NNP
Corp NNP
Corp. NNP
Corp.-Toyota JJ
Corp.-USA NNP
Corp.-compatible JJ
Corp.:8.30 NNP
Corp.:8.50 NNP
Corp.:8.725 NNP
Corp.\/Europe NNP
Corp.s NNP
Corporal NNP
Corporate JJ
Corporate\/investor NN
Corporation NNP
Corporations NNS
Corps NNP
Corpus NNP
Corr NNP
Corrado NNP
Correct JJ
Correcting VBG
Correction NN
Correctional NNP
Corrections NNP
Corrective JJ
Correctly RB
Correggio NNP
Correlations NNS
Correlatively RB
Correll NNP
Correspondence NN
Correspondents NNPS
Corresponding VBG
Corrette NNP
Corrigan NNP
Corroborating VBG
Corroon NNP
Corrupt NNP
Corruption NN
Corry NNP
Corsi NNP
Corsia NNP
Corsica NNP
Corsicas NNS
Corso NNP
Cort NNP
Cortes NNP
Cortese NNP
Cortex NNP
Cortizone-5 NNP
Cortland NNP
Cortlandt NNP
Corton-Charlemagne NNP
Corvallis NNP
Corvette NNP
Corvettes NNS
Corvus NNP
Corzine NNP
Cos NNP
Cos. NNP
Cosby NNP
Cosgrove NNP
Cosgrove-Meurer NNP
Cosma NNP
Cosmair NNP
Cosmetic NNP
Cosmetics NNS
Cosmic NNP
Cosmo NNP
Cosmology NNP
Cosmopolitan NNP
Cosmopulos NNP
Cosmos NNP
Cossack NNP
Cossacks NNPS
Cossiga NNP
Cost NN
Cost-effective JJ
Costa NNP
Costaggini NNP
Costantine NNP
Costanza NNP
Costar NNP
Costco NNP
Costello NNP
Costley NNP
Costly JJ
Costner NNP
Costs NNS
Cote NNP
Cotillion NNP
Cotman NNP
Cotran NNP
Cott NNP
Cotten NNP
Cotter NNP
Cottle NNP
Cotton NNP
Cottrell NNP
Cotty NNP
Couch-potato NN
Coudersport NNP
Coudert NNP
Cougar NNP
Cougars NNPS
Coughlin NNP
Coulas NNP
Could MD
Coulomb NNP
Coulson NNP
Council NNP
Councilman NNP
Councils NNPS
Councilwoman NNP
Counsel NNP
Counsel/NNP... :
Counseling NN
Counselor NNP
Counselors NNPS
Count NNP
Count-Duke NNP
Countach NNP
Counter NNP
Countered VBD
Countering VBG
Counterpoint NN
Counters VBZ
Counties NNPS
Countin VBG
Counting VBG
Countries NNPS
Country NNP
Countrymen NNPS
Countrywide NNP
County NNP
Coupal NNP
Coupe NNP
Couperin NNP
Coupes NNP
Couple JJ
Coupled VBN
Couples NNS
Coupling VBG
Coupon NN
Coupons NNS
Courant NNP
Courbet NNP
Courcy NNP
Courier NNP
Courier-Journal NNP
Course NNP
Courses NNS
Court NNP
Court-awarded JJ
Court-packing JJ
Courtaulds NNP
Courtenay NNP
Courter NNP
Courter... :
Courthouse NN
Courtier NNP
Courtis NNP
Courtney NNP
Courtrai NNP
Courts NNPS
Cousin NNP
Couturier NNP
Couve NNP
Covas NNP
Cove NNP
Covell NNP
Covent NNP
Coventry NNP
Cover NNP
Cover-Up NNP
Coverage NNP
Covered JJ
Covering NNP
Covert NNP
Covey NNP
Covia NNP
Covington NNP
Covitz NNP
Cow NNP
Cowan NNP
Coward NNP
Cowbird NNP
Cowboy NN
Cowboys NNPS
Cowboys-owned JJ
Cowen NNP
Cowessett NNP
Cowessett-East NNP
Cowles NNP
Cowley NNP
Cowper NNP
Cowrtiers NNS
Cows NNS
Cox NNP
Coxon NNP
Coykendall NNP
Coyotes NNS
Cozen NNP
Cozumel NNP
Cozying VBG
Cr NNP
Cr--spe NNP
Crab NNP
Crabb NNP
Crabs NNP
Crabtree NNP
Crack NN
Cracking VBG
Cracklin NNP
Craddock NNP
Cradle NNP
Craft NN
Crafton-Preyer NNP
Crafts NNPS
Craftsmen NNPS
Craig NNP
Crain NNP
Cralin NNP
Cramer NNP
Crampton NNP
Crandall NNP
Crane NNP
Cranes NNPS
Cranston NNP
Cranston-D'Amato JJ
Cranston-Mitchell NNP
Crary NNP
Crash NNP
Crashing VBG
Craton NNP
Cravath NNP
Craven NNP
Craving VBG
Crawford NNP
Crawford-Browne NNP
Crawfordsville NNP
Cray NNP
Cray*/NNP-3 CD
Cray-3 NNP
Crazy NNP
Cream NNP
Creamer NNP
Creamery NNP
Creamette NNP
Crean NNP
Create VB
Created VBN
Creates VBZ
Creating VBG
Creation NN
Creations NNPS
Creative NNP
Creator NNP
Creators NNS
Credibility NN
Credietbank NNP
Credit NNP
Credit-Card NN
Credit-card NN
CreditWatch NNP
Creditanstalt NNP
Creditanstalt-Bankverein NNP
Creditbank NNP
Creditbanken NNP
Credito NNP
Creditor NN
Creditors NNS
Credo NN
Cree NNP
Creed NNP
Creedon NNP
Creek NNP
Creek-Turn JJ
Creepers UH
Creighton NNP
Creme NNP
Cremonie NNP
Creole NNP
Creon NNP
Crescent NNP
Crescott NNP
Cress NNP
Cressidas NNPS
Cresson NNP
Cresswell NNP
Crest NNP
Crest-Colgate JJ
Crested NNP
Crestmont NNP
Creston NNP
Creswell NNP
Cretaceous NNP
Crete NNP
Creusot NNP
Crew NN
Crewmembers NNP
Crews NNP
Cricket NNP
Cried VBD
Crier NNP
Crime NN
Crimea NNP
Crimean NNP
Crimes NNP
Criminal NNP
Criminal-defense NN
Criminalization NN
Criminals NNS
Criminologists NNS
Crip NNP
Crippled NNP
Crippling JJ
Cris NNP
Crisanti NNP
Crisco NNP
Crises NNS
Crisis NNP
Crisman NNP
Crisp NNP
Crispin NNP
Cristal NNP
Cristiani NNP
Cristini NNP
Cristo NNP
Criteria NNP
Criterion NNP
Critic NNP
Critical NNP
Criticality NN
Critically RB
Criticism NN
Criticisms NNP
Critics NNS
Crittenden NNP
Croasdale NNP
Crobsy NNP
Crockett NNP
Crocodile NNP
Croissier NNP
Croix NNP
Croma NNP
Crombie NNP
Cromwell NNP
Cromwellian JJ
Cronin NNP
Cronkite NNP
Crooked JJ
Croom-Helm NNP
Croonen NNP
Crop NNP
Crosbie NNP
Crosby NNP
Crosbys NNPS
Crosfield NNP
Cross NNP
Cross-Purposes NNPS
Cross-border JJ
Cross-margining NN
Crossair NNP
Crosse NNP
Crosser NNP
Crossfire NNP
Crossing VBG
Crossland NNP
Crossman NNP
Crosson NNP
Crotale JJ
Crouch NNP
Crouched VBN
Crovitz NNP
Crow NNP
Crowd NNP
Crowder NNP
Crowds NNS
Crowe NNP
Crowell NNP
Crowley NNP
Crown NNP
Crowntuft NNP
Crows NNPS
Croydon NNP
Crozier NNP
Cru NNP
Crucial JJ
Crucians NNPS
Crucible NNP
Crude JJ
Crude-goods NNS
Cruel JJ
Cruelty NNP
Cruger NNP
Cruickshank NNP
Cruise NNP
Cruiser NNP
Crum NNP
Crumb NNP
Crumble NNP
Crumley NNP
Crumlish NNP
Crump NNP
Crunch VB
Crupi NNP
Crus NNP
Crusade NNP
Crusader NNP
Crusaders NNPS
Crusades NNPS
Crush NNP
Crutcher NNP
Crutzen NNP
Cruz NNP
Cruzan NNP
Cruze NNP
Cry NN
Cryptic JJ
Crystal NNP
Crystallographic JJ
Crystallography NNP
Csathy NNP
Ct NNP
Ct. NNP
CuK JJ
Cuatrecasas NNP
Cuauhtemoc NNP
Cub NNP
Cuba NNP
Cuban JJ
Cuban-American NNP
Cuban-assisted JJ
Cubans NNPS
Cube NNP
Cubism NN
Cubist NN
Cubs NNPS
Cucamonga NNP
Cuckoo NN
Cudahy NNP
Cuddeford NNP
Cuddihy NNP
Cuddleback NNP
Cuddles NNP
Cudkowicz NNP
Cudmore NNP
Cuellar NNP
Cuisinart NNP
Cuisinarts NNPS
Cuisine NNP
Cujo NNP
Culbertson NNP
Culkin NNP
Cullen\/Frost NNP
Culligan NNP
Cullinet NNP
Cullowhee NNP
Culmone NNP
Culp NNP
Cult NNP
Cultor NNP
Cultural NNP
Culturally RB
Culture NNP
Cultures NNS
Culver NNP
Culvers NNPS
Cumbancheros NNP
Cumberland NNP
Cumhuriyet NNP
Cummings NNP
Cummins NNP
Cumulative JJ
Cunard NNP
Cuneo NNP
Cunha NNP
Cunin NNP
Cunningham NNP
Cuoco NNP
Cuomo NNP
Cup NNP
Cup-Tote NNP
Cupboard NN
Cupertino NNP
Cupply NNP
Curacao NNP
Curb VB
Curcio NNP
Curdling NNP
Curia NNP
Curiae FW
Curie NNP
Curie-Weiss NNP
Curiosity NN
Curious JJ
Curiously RB
Curl NNP
Curley NNP
Curling NNP
Curly JJ
Curragh NNP
Curran NNP
Currency NN
Current JJ
Currently RB
Curriculum NN
Currie NNP
Currier NNP
Curry NNP
Currys NNP
Cursed VBN
Cursing VBG
Curt NNP
Curtain NNP
Curteis NNP
Curtin NNP
Curtis NNP
Curtiss NNP
Curtiss-Wright NNP
Cury NNP
Curzio NNP
Curzon NNP
Cusa NNP
Cushing NNP
Cushman NNP
Custer NNP
Custodian NNP
Custom NNP
Customarily RB
Customary NNP
Customer NN
Customer-access NN
Customers NNS
Customhouse NNP
Customized JJ
Customs NNPS
Cut VB
Cutbacks NNP
Cutbush NNP
Cutlass NNP
Cutler NNP
Cutrer NNP
Cutrere NNP
Cuts NNS
Cutter NNP
Cutting VBG
Cutty NNP
Cuyahoga NNP
Cuyler NNP
Cy NNP
CyCare NNP
Cyanamid NNP
Cyanocitta FW
Cyber NNP
Cybex NNP
Cybill NNP
Cycads NNS
Cyclades NNS
Cycle NNP
Cycling NNP
Cyclone NNP
Cycly NNP
Cyd NNP
Cydonia NNP
Cygne NNP
Cygnus NNP
Cylinder NN
Cynewulf NNP
Cynical JJ
Cynthia NNP
Cynwyd NNP
Cyoctol NNP
Cypress NNP
Cyprian NNP
Cyprus NNP
Cyr NNP
Cyriac NNP
Cyril NNP
Cyrus NNP
Cytel NNP
Cytogen NNP
Czar NNP
Czarina NNP
Czarship NNP
Czech JJ
Czechoslovak JJ
Czechoslovak-made JJ
Czechoslovakia NNP
Czechoslovaks NNPS
Czechs NNPS
Czerny NNP
Czeslaw NNP
Czestochwa NNP
D NN
D&B NNP
D&H NNP
D'Agostino NNP
D'Agosto NNP
D'Albert NNP
D'Amato NNP
D'Amico NNP
D'Amours NNP
D'Ancona NNP
D'Arcy NNP
D'Argent NNP
D'Arlay NNP
D'Art NNP
D'Artaguette NNP
D'Aumont NNP
D'Urbervilles NNP
D* NNP
D*/NNP&B NN
D-5 NNP
D-Mass. NNP
D-marks NNS
D-night NN
D. NNP
D.,Calif NNP
D.,Calif. NN
D.,Texas NNS
D.A. NNP
D.C NNP
D.C. NNP
D.C.-based JJ
D.D. NNP
D.D.S. NNP
D.H. NNP
D.J. NNP
D.K NNP
D.K. NNP
D.L. NNP
D.N. NNP
D.O.A. JJ
D.S. NNP
D.T. NNP
D.W. NNP
D.s NNPS
D/NNP.A. NN
D2 NN
D8 CD
DA NN
DAF NNP
DALIS NNPS
DALKON NNP
DALLAS NNP
DAMAGES NNS
DANIEL NNP
DARMAN'S NNP
DARPA NNP
DAT NNP
DATA NNP
DAWDLING NN
DAX NNP
DAY NNP
DAYAC NNP
DAYTON NNP
DB2 CD
DBC NNP
DBL NNP
DBS NNP
DC NN
DC-10 NNP
DC-10s NNPS
DC-8-62 NN
DC-9 JJ
DC10-30 NN
DD NNP
DDB NNP
DDG-51 NNP
DDI NNP
DDR NNP
DDT NNP
DE NNP
DEA NNP
DEAE NNP
DEAE-cellulose NNP
DEAE-cellulose-treated NN
DEAL NNP
DEALERS NNPS
DEBT NN
DEC NNP
DECstation NNP
DEFECT VBP
DEFECTOR NN
DEFENSE NN
DEFERRED JJ
DEFICIT NNP
DELAYED VBN
DELAYS VBZ
DELIGHT VBP
DEMAND NN
DEMOCRATS NNS
DEPARTMENT NNP
DEPOSIT NN
DES NNP
DESIGNATING VBG
DESPITE IN
DEVELOPMENT NNP
DEVELOPMENTS NNPS
DEVICES NNP
DFC NNP
DFS\/Pacific NNP
DG NNP
DGAULT NNP
DGII NNP
DHAWK NNP
DHL NNP
DIAL-A-PIANO-LESSON NNP
DIALING VBG
DIAPER NN
DIASONICS NNP
DID VB
DIED VBD
DIET NNP
DIFFERENCE NNP
DIG NNP
DIGITAL NNP
DIGS NNS
DILLARD NNP
DIOCS NN
DIRECTORS NNS
DIRECTORY NN
DISAPPOINTMENTS NNS
DISASTER NN
DISCIPLINARY NN
DISCOUNT NN
DISNEY NNP
DISPLAYED VBD
DISTRESSFUL JJ
DISTRICT JJ
DJ NNP
DJIA NNP
DJS NNP
DJS-Inverness NNP
DJS\/Inverness NNP
DKB NNP
DKNY NNP
DLC NNP
DLINE NN
DLJ NNP
DLX NNP
DM VB
DM1,200 CD
DM10,000 CD
DM100 CD
DM2,000 CD
DM2,300 CD
DM2,800 CD
DM200 CD
DM235 CD
DM3,500 CD
DM33 CD
DM5,000 CD
DM6,000 CD
DM7,000 CD
DM850-a-month JJ
DMB&B\/International JJ
DMB&B\/New NNP
DNA NNP
DNX NNP
DO VB
DOC-IN-A-BOX NNP
DOCTORS NNS
DOE NNP
DOE-site NN
DOG NN
DOGS NNS
DOLLAR NN
DOLLAR'S NN
DOLLARS NNPS
DON'T NNP
DONORS NNS
DONT VB
DOONESBURY NNP
DOORS NNS
DOS NNP
DOT NNP
DOW NNP
DOWN RB
DOWNEY NNP
DOWNLOAD VB
DOWNSIZING NN
DPC NNP
DPL NNP
DPS NNP
DPT NNP
DPW NNP
DPX\ NNP
DRACULA'S NNP|VBZ
DRAM NNP
DRAMs NNS
DRDW NN
DREXEL NNP
DREYER'S NNP
DRG NNP
DRI NNP
DRILLING NN
DRI\/McGraw NNP
DRI\/McGraw-Hill NNP
DRUG NN
DRUGS NNPS
DSG NNP
DSL NNP
DSM NNP
DSP NNP
DSW NN
DTF NN
DTH NNP
DU NNP
DUF NN
DUN NNP
DWG NNP
DX NNP
Da NNP
Da-da-da-dum JJ
DaPuzzo NNP
Dabbling VBG
Daberko NNP
Dabney NNP
Dachshund NN
Dactyls NNPS
Dad NNP
Dada NNP
Dadaism NNP
Daddy NNP
Dade NNP
Dads NNP
Dae NNP
Daer NNP
Daewoo NNP
Daffynition NN
Dag NNP
Dagens NNP
Daggs NNP
Dahl NNP
Dahlen NNP
